createtime,creator_qq,creator_name,creator_isVip,dissid,dissname,listennum
2019-12-26,1060444681,硬糖加可乐,2,7354500671,踏歌逐梦 · 细数古风音乐团队,191564
2020-01-01,1498030674,星野一,2,7364085035,无需多言，让说唱陪孤独流浪,112825
2020-01-03,1425152734,星河,0,7366491503,电竞游戏丨是时候表演真正技术了,212967
2020-01-10,3490786195,允许部分冷门先热起来,2,7374648354,中文说唱 · 街头玩家致胜法则,207109
2020-01-09,1043698531,刘珂矣,1,7374692852,时光的歌  | 白驹过隙，岁月柔长,726989
2019-06-06,1968987427,故事未完待续,2,7027071653,低头沉默 | 哀愁笼心口,618709
2019-12-16,4884280,这事让哥来,0,7283650979,那时年少，走过悠悠的青春期,167019
2020-01-06,2184870660,北城相拥-,0,7349253671,一座城市，有关于你的回忆,240834
2018-01-09,2672739483,Wuli凡凡,2,1786915356,大卫·鲍伊 | 致敬永远的音乐大师,237534
2019-12-14,3414308253,鹅猴综艺狸,2,7336349096,沦陷循环 | 情迷独特嗓音,838012
2020-01-09,2303204713,蓝莓 Cake,0,7373797639,英文电子：行驶到更远的地方,206547
2020-01-06,793407810,四平台资深做单人,2,7364349121,亲爱的夜猫子，请你不要再修仙啦,493912
2020-01-10,2979842415,桃Tao音乐志,2,7376221509,iHeartRadio大奖主要奖项提名,221125
2020-01-07,55894433,QQ音乐VIP,6,7372595730,Glam Rock | 华丽的摇滚浪潮,181209
2020-01-08,987674549,小众又怎样,0,7372500022,私人推荐：这里的温柔只属于你,735461
2019-06-06,1968987427,故事未完待续,2,7026849144,放克在中国，就要这节奏,177401
2020-01-08,2979842415,桃Tao音乐志,2,7373486159,第72届DGA导演工会奖提名,70302
2019-12-31,793407810,四平台资深做单人,2,7362183520,@所有人：2020年记得照顾好自己,397669
2019-12-20,3414308253,鹅猴综艺狸,2,7345843325,致敬歌后丨这些歌曾轻轻敲打你心,713327
2018-03-14,3239619075,歌单狂魔,2,3779314097,霍金：请再一次带领我去宇宙中心,1000084
2020-01-07,2407142727,就是一个听歌der,2,7370952645,启程吧！带着倔强再出发,300881
2019-12-31,2136690006,海音唱片国际,0,7314860008,糖衣炮弹 • 甜蜜电子请查收,576511
2020-01-06,987674549,小众又怎样,0,7366741278,甜蜜情书：喜欢你没道理,889196
2019-07-05,1595244413,流行小当家,0,7078664858,"心碎,情意绵绵总与见异思迁为难",796399
2019-12-26,2407142727,就是一个听歌der,2,7353704314,华语舒缓 · 为疲惫寒冬加温,804388
2019-12-31,375217506,韩夜,7,7291453902,快乐源泉｜用DJ忘掉所有不开心,605086
